source,id,publisher,city,borough,year,start_page,end_page,column_count,sample_page,key_page,page_offset,holding_institution,title,notes
nypl,b14662b0-81a8-0134-2a18-00505686a51c,Franks/Kollock,New York,Manhattan,1786,20,52,1,40,,8,NYPL,The New-York directory,
nypl,7764cfe0-81aa-0134-faa5-00505686a51c,Hodge/Allen,New York,Manhattan,1789,5,100,1,6,,,NYPL,New York City directory,
nypl,614e2e50-81ad-0134-e971-00505686a51c,Hodge/Allen,New York,Manhattan,1790,5,113,1,7,,,NYPL,New York City directory,
nypl,f554e950-81ae-0134-b4cf-00505686a51c,Duncan/Greenleaf,New York,Manhattan,1791,1,146,1,4,,,NYPL,New York City directory,
nypl,1cd14160-8431-0134-6a12-00505686a51c,Duncan/McComb,New York,Manhattan,1794,1,210,1,6,,,NYPL,"New York City directory, 1794, copy 2",
nypl,2dfca400-81bd-0134-7dee-00505686a51c,Low/Buell/Bull,New York,Manhattan,1796,1,216,1,4,,,NYPL,New York City directory,
nypl,9c27dfc0-81bf-0134-3140-00505686a51c,Longworth,New York,Manhattan,1797,107,340,1,236,,19,NYPL,"New York City directory, 1797, copy 1","offset +19 constant (c164=p.145, c281=p.262); 1 col; visually sampled 2026-06-19"
nypl,396a2d00-8433-0134-0db6-00505686a51c,Longworth,New York,Manhattan,1801,105,320,1,106,,,NYPL,"New York City directory, 1801",
nypl,33f67330-5daf-0134-9838-00505686a51c,Doggett's,New York,Manhattan,1847/48,27,480,2,479,,,NYPL,"New York City directory, 1847-1848",
nypl,4ad95a70-317a-0134-d1af-00505686a51c,Doggett's,New York,Manhattan,1849/50,21,468,2,22,,,NYPL,"New York City directory, 1849-1850",
nypl,4adf9ec0-317a-0134-03ad-00505686a51c,Doggett's,New York,Manhattan,1850/51,21,560,2,60,,,NYPL,"New York City directory, 1850-1851",
nypl,4ae3cb40-317a-0134-489d-00505686a51c,Doggett's,New York,Manhattan,1851/52,21,590,2,59,,,NYPL,"New York City directory, 1851-1852",
nypl,4ae76b60-317a-0134-b849-00505686a51c,Trow/Wilson,New York,Manhattan,1852/53,21,673,2,36,,,NYPL,"New York City directory, 1852-1853",
nypl,4aea8af0-317a-0134-2393-00505686a51c,Trow/Wilson,New York,Manhattan,1853/54,21,764,2,41,,,NYPL,"New York City directory, 1853-1854",
nypl,4aed8a80-317a-0134-28a4-00505686a51c,Trow/Wilson,New York,Manhattan,1854/55,21,817,2,22,,,NYPL,"New York City directory, 1854-1855",
nypl,4af0c6f0-317a-0134-e90c-00505686a51c,Trow/Wilson,New York,Manhattan,1855/56,21,907,2,30,,,NYPL,"New York City directory, 1855-1856",
nypl,4af3b880-317a-0134-bda8-00505686a51c,Trow/Wilson,New York,Manhattan,1856/57,21,911,2,35,,,NYPL,"New York City directory, 1856-1857",
nypl,4af6a690-317a-0134-5947-00505686a51c,Trow/Wilson,New York,Manhattan,1857/58,21,916,2,60,,,NYPL,"New York City directory, 1857-1858",
nypl,4afa0510-317a-0134-cf84-00505686a51c,Trow/Wilson,New York,Manhattan,1858/59,21,885,2,41,,,NYPL,"New York City directory, 1858-1859",
nypl,4afd6280-317a-0134-575a-00505686a51c,Trow/Wilson,New York,Manhattan,1859/60,21,937,2,39,,,NYPL,"New York City directory, 1859-1860",
nypl,4b00bf60-317a-0134-32d0-00505686a51c,Trow/Wilson,New York,Manhattan,1860/61,21,946,2,31,,,NYPL,"New York City directory, 1860-1861",
nypl,4b0419c0-317a-0134-7464-00505686a51c,Trow/Wilson,New York,Manhattan,1861/62,21,941,2,27,,,NYPL,"New York City directory, 1861-1862",
nypl,4b073d20-317a-0134-af68-00505686a51c,Trow/Wilson,New York,Manhattan,1862/63,24,969,2,26,,,NYPL,"New York City directory, 1862-1863",
nypl,4b0aa870-317a-0134-712b-00505686a51c,Trow/Wilson,New York,Manhattan,1863/64,20,847,2,69,,,NYPL,"New York City directory, 1863-1864",
nypl,4b0e13f0-317a-0134-6578-00505686a51c,Trow/Wilson,New York,Manhattan,1864/65,22,999,2,51,,,NYPL,"New York City directory, 1864-1865",
nypl,4b119360-317a-0134-9131-00505686a51c,Trow/Wilson,New York,Manhattan,1865/66,24,1078,2,44,,,NYPL,"New York City directory, 1865-1866",
nypl,4b154340-317a-0134-afd3-00505686a51c,Trow/Wilson,New York,Manhattan,1866/67,21,1119,2,29,,,NYPL,"New York City directory, 1866-1867",
nypl,4b18f080-317a-0134-fded-00505686a51c,Trow/Wilson,New York,Manhattan,1867/68,23,1141,2,884,,,NYPL,"New York City directory, 1867-1868",
nypl,4b336e60-317a-0134-1e9b-00505686a51c,Trow/Wilson,New York,Manhattan,1868/69,21,1194,2,91,,,NYPL,"New York City directory, 1868-1869",
nypl,4b36edd0-317a-0134-eedc-00505686a51c,Trow/Wilson,New York,Manhattan,1869/70,24,1263,2,55,,,NYPL,"New York City directory, 1869-1870",
nypl,4b3a14d0-317a-0134-011c-00505686a51c,Trow/Wilson,New York,Manhattan,1870/71,21,1337,2,1321,,,NYPL,"New York City directory, 1870-1871",
nypl,4b3d0590-317a-0134-1631-00505686a51c,Trow/Wilson,New York,Manhattan,1871/72,21,1268,2,56,,,NYPL,"New York City directory, 1871-1872",
nypl,4b4009d0-317a-0134-949b-00505686a51c,Trow/Wilson,New York,Manhattan,1872/73,21,1329,2,1312,,,NYPL,"New York City directory, 1872-1873",
nypl,4b437600-317a-0134-6db3-00505686a51c,Trow/Wilson,New York,Manhattan,1873/74,21,1435,2,718,,,NYPL,"New York City directory, 1873-1874",
nypl,4b47b740-317a-0134-ad0b-00505686a51c,Trow/Wilson,New York,Manhattan,1874/75,18,1440,2,333,,,NYPL,"New York City directory, 1874-1875",
nypl,4b4b2b90-317a-0134-6800-00505686a51c,Trow,New York,Manhattan,1875/76,27,1542,2,21,,,NYPL,"New York City directory, 1875-1876",
nypl,4b4e8300-317a-0134-fb8c-00505686a51c,Trow,New York,Manhattan,1876/77,30,1532,2,18,,,NYPL,"New York City directory, 1876-1877",
nypl,4b51d420-317a-0134-aa50-00505686a51c,Trow/Wilson,New York,Manhattan,1877/78,26,1586,2,21,,,NYPL,"New York City directory, 1877-1878",
nypl,4b5532f0-317a-0134-52ca-00505686a51c,Trow/Wilson,New York,Manhattan,1878/79,17,1609,2,22,,,NYPL,"New York City directory, 1878-1879",
nypl,4b58d200-317a-0134-d2aa-00505686a51c,Trow/Wilson,New York,Manhattan,1879/80,17,1657,2,47,,,NYPL,"New York City directory, 1879-1880",
